"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","3","4878-2N3904CT-ND","2N3904","TRANS NPN 40V 0.2A TO-92","","3","0","0.14000","0.42"
"2","1","CP-3523SJCT-ND","SJ-3523-SMT-TR","CONN JACK STEREO 3.5MM SMD R/A","","1","0","0.88000","0.88"
"3","1","277-1247-ND","1729128","TERM BLK 2P SIDE ENT 5.08MM PCB","","1","0","0.95000","0.95"
"4","3","445-2510-1-ND","C1608X8R2A103K080AA","CAP CER 10000PF 100V X8R 0603","","3","0","0.14000","0.42"
"5","1","587-6004-1-ND","EMK107B7104KAHT","CAP CER 0.1UF 16V X7R 0603","","1","0","0.10000","0.10"
"6","1","311-4.70KMCT-ND","RC0201FR-074K7L","RES 4.7K OHM 1% 1/20W 0201","","1","0","0.10000","0.10"
"7","3","YAG3413CT-ND","AC0201FR-0710KL","RES SMD 10K OHM 1% 1/20W 0201","","3","0","0.10000","0.30"
"8","1","987-1708-ND","P0915N-EC15BR100K","POT 100K OHM 1/20W PLASTIC LIN","","1","0","2.83000","2.83"
"9","1","401-1999-1-ND","JS102011SAQN","SWITCH SLIDE SPDT 300MA 6V","","1","0","0.85000","0.85"

